tour,player_name,ras_slow,ras_medium,ras_fast,n_slow,n_medium,n_fast,body_return_pts,cluster,PC1,PC2
ATP,Adam Walton,0.9393939393939394,1.0,1.0,33,28,14,75,1,1.3787810392153088,-1.3871219567893425
ATP,Adrian Mannarino,0.9601226993865031,0.8976982097186701,0.8733333333333333,326,391,300,1017,6,-0.96034880232873,0.5928112560808558
ATP,Albert Ramos Vinolas,0.9555555555555556,0.944,0.9158878504672897,135,250,214,599,3,0.027757173387001483,-0.04245137670604867
ATP,Alejandro Davidovich Fokina,0.9742765273311897,0.964,0.9156626506024096,311,250,249,810,3,0.5802808398916006,0.3143835691001527
ATP,Alejandro Tabilo,0.958904109589041,0.9423076923076923,0.9487179487179487,73,104,39,216,4,0.36694325298398656,-0.32863063987158586
ATP,Aleksandar Kovacevic,0.9411764705882353,1.0,0.967741935483871,34,19,31,84,1,1.096627712854231,-0.9982216851521392
ATP,Aleksandar Vukic,1.0,0.8888888888888888,0.9354838709677419,26,18,31,75,4,0.0952105571777022,0.754259951788631
ATP,Alex Bolt,0.9354838709677419,0.9649122807017544,0.8863636363636364,62,57,44,163,6,-0.25598387105481946,-0.17008676267909337
ATP,Alex De Minaur,0.9863013698630136,0.9441860465116279,0.9380952380952381,146,215,210,571,3,0.6935925122206534,0.35109059786165503
ATP,Alex Michelsen,1.0,0.9076923076923077,1.0,72,65,42,179,4,0.9751260167513146,0.019207314160250902
ATP,Alex Molcan,0.9811320754716981,0.9866666666666667,0.9024390243902439,106,75,82,263,3,0.8718725651328133,0.5631474476994834
ATP,Alex de Minaur,0.9735849056603774,0.9536082474226805,0.9631728045325779,530,388,353,1271,1,0.8786827178491322,-0.20123921185348911
ATP,Alexander Bublik,0.9384615384615385,0.905982905982906,0.9272030651340997,260,234,261,755,4,-0.6472155208734681,-0.4569189658232815
ATP,Alexander Ritschard,1.0,0.9428571428571428,0.9298245614035088,27,35,57,119,3,0.7968727273271397,0.7269864640399312
ATP,Alexander Shevchenko,0.98,0.9818181818181818,0.9487179487179487,50,55,39,144,1,1.229672234546812,0.04270201566317845
ATP,Alexander Zverev,0.9727371864776445,0.9398340248962656,0.8729166666666667,917,964,960,2841,6,-0.18924538754400833,0.7888640515590238
ATP,Alexandr Dolgopolov,0.9130434782608695,0.898876404494382,0.8450704225352113,46,89,71,206,0,-1.9045368393430253,-0.07486844472668534
ATP,Alexandre Muller,0.9821428571428571,0.9861111111111112,0.9393939393939394,56,72,99,227,1,1.2321083349455433,0.18170800385032104
ATP,Alexei Popyrin,0.9644128113879004,0.9406392694063926,0.9017341040462428,281,219,173,673,3,-0.024656261253765743,0.3008185200946978
ATP,Aljaz Bedene,0.9855072463768116,0.8656716417910447,0.6407766990291263,69,67,103,239,5,-3.2591022353774726,3.708674349650269
ATP,Andreas Seppi,0.9575471698113207,0.8848484848484849,0.8658008658008658,212,165,231,608,6,-1.250059777858517,0.642914985847107
ATP,Andrey Kuznetsov,0.9036144578313253,0.8703703703703703,0.7727272727272727,83,54,44,181,0,-3.133436281399647,0.5664992094500928
ATP,Andrey Rublev,0.9726443768996961,0.9417758369723436,0.8978328173374613,658,687,646,1991,3,0.07471670358880776,0.5118425370230233
ATP,Andy Murray,0.9281437125748503,0.9276437847866419,0.8937007874015748,501,539,508,1548,6,-0.8154209678905513,-0.34055344279509536
ATP,Antoine Hoang,0.7916666666666666,0.7777777777777778,0.9285714285714286,24,18,14,56,2,-4.582695438903969,-3.2978076534353913
ATP,Arthur Cazaux,0.9807692307692307,0.9782608695652174,1.0,52,46,23,121,1,1.681258187584715,-0.49512860904274514
ATP,Arthur Fils,0.9833333333333333,0.9607843137254902,0.9316239316239316,120,153,117,390,3,0.8206439011015594,0.3329127233327928
ATP,Arthur Rinderknech,0.9481132075471698,0.9246575342465754,0.900709219858156,212,146,141,499,6,-0.4973399395657193,0.0010987852073395773
ATP,Aslan Karatsev,0.9497716894977168,0.9065934065934066,0.8904109589041096,219,182,146,547,6,-0.824399289224078,0.17759585221925517
ATP,Ben Shelton,0.9680851063829787,0.9803921568627451,0.92018779342723,188,204,213,605,3,0.7622608690490924,0.10984912614711405
ATP,Benjamin Bonzi,0.967479674796748,0.911504424778761,0.9537037037037037,123,113,108,344,4,0.10902550342040176,-0.15477781744369645
ATP,Benoit Paire,0.8666666666666667,0.8893280632411067,0.8952879581151832,180,253,191,624,2,-2.2385708460295146,-1.5667371899024531
ATP,Bernabe Zapata Miralles,0.9795918367346939,0.9384615384615385,0.8484848484848485,98,65,99,262,6,-0.34142156834156273,1.199575944566635
ATP,Bernard Tomic,0.9619047619047619,0.9310344827586207,0.7647058823529411,105,145,102,352,5,-1.5055661541032683,1.760089051026843
ATP,Bjorn Fratangelo,0.9642857142857143,1.0,0.8235294117647058,28,10,17,55,6,0.057317842740783095,1.0536714376057543
ATP,Borna Coric,0.9649805447470817,0.9080459770114943,0.8592964824120602,257,174,199,630,6,-0.8783410665288574,0.8294356619506641
ATP,Borna Gojo,0.9791666666666666,0.9661016949152542,0.9777777777777777,48,59,45,152,1,1.2750947379557163,-0.2657295456247917
ATP,Botic Van De Zandschulp,0.9772727272727273,0.9157303370786517,0.925531914893617,132,178,94,404,4,0.042604276006591474,0.34831185668519776
ATP,Botic van De Zandschulp,1.0,0.9731543624161074,0.9659090909090909,159,149,88,396,1,1.5660135054430322,0.2832327464850833
ATP,Bradley Klahn,0.9285714285714286,0.8387096774193549,0.8787878787878788,28,31,33,92,0,-2.1970719670509133,-0.022252467685621734
ATP,Brandon Holt,1.0,0.9743589743589743,0.9743589743589743,67,39,39,145,1,1.6636404668712947,0.18903607965168714
ATP,Brandon Nakashima,0.9773584905660377,0.9585253456221198,0.9224137931034483,265,217,232,714,3,0.6133456658444288,0.31351459681497174
ATP,Cameron Norrie,0.951171875,0.9072164948453608,0.9035874439461884,512,485,446,1443,4,-0.6692039364892943,0.061751836031899224
ATP,Carlos Alcaraz,0.9789272030651341,0.9751381215469613,0.9217638691322901,522,724,703,1949,3,0.8627831015571419,0.32566054391689975
ATP,Carlos Taberner,1.0,0.9333333333333333,0.92,13,15,25,53,3,0.5696088374327605,0.8499083938689971
ATP,Casper Ruud,0.9801192842942346,0.9508196721311475,0.9119318181818182,503,427,352,1282,3,0.4457551513856436,0.497737081302169
ATP,Christopher Eubanks,0.9793103448275862,0.9077669902912622,0.9310344827586207,145,206,174,525,4,0.013566720021929254,0.3435641066210072
ATP,Christopher O'Connell,0.9539473684210527,0.8840579710144928,0.8531073446327684,152,138,177,467,5,-1.4352483846075041,0.7082507718277242
ATP,Corentin Moutet,0.9936708860759493,0.8841463414634146,0.935672514619883,158,164,171,493,4,-0.062236305367518535,0.6290641361203962
ATP,Cristian Garin,0.9387755102040817,0.8978102189781022,0.918918918918919,245,137,185,567,4,-0.8362312060051275,-0.34653911087193906
ATP,Damir Dzumhur,0.9662921348314607,0.875,0.896551724137931,89,56,87,232,4,-0.9658055397946097,0.504542221096898
ATP,Daniel Altmaier,0.9722222222222222,0.9411764705882353,0.953125,108,51,64,223,4,0.5885750279389576,-0.09928031841994286
ATP,Daniel Elahi Galan,1.0,0.963963963963964,0.941747572815534,97,111,103,311,3,1.2063959992127982,0.5620568284278623
ATP,Daniel Evans,0.9642857142857143,0.9253393665158371,0.91,532,442,500,1474,4,-0.16177465140791758,0.23322703948396478
ATP,Daniil Medvedev,0.9562706270627063,0.9035714285714286,0.8484848484848485,1212,840,759,2811,6,-1.1720901449614782,0.7745751741376596
ATP,Darian King,1.0,1.0,0.9629629629629629,21,21,27,69,1,1.9137920714807681,0.27109548136125544
ATP,David Ferrer,0.9285714285714286,0.8902439024390244,0.8378378378378378,112,82,74,268,0,-1.8667790136440245,0.3395998736704314
ATP,David Goffin,0.9669565217391304,0.92018779342723,0.8605504587155963,575,426,545,1546,6,-0.6673431610183629,0.8366080139167288
ATP,Denis Istomin,0.979381443298969,0.9302325581395349,0.9047619047619048,97,43,84,224,3,0.07811358725521324,0.5946738536587931
ATP,Denis Kudla,1.0,0.952,0.8910891089108911,65,125,101,291,3,0.5546993737388152,1.1346046000151615
ATP,Denis Shapovalov,0.9320754716981132,0.9027777777777778,0.8602941176470589,530,576,544,1650,6,-1.4252400711876423,0.1463735999073049
ATP,Dennis Novak,0.9,0.96,0.8333333333333334,10,25,42,77,6,-1.3520863183239482,-0.31751564210964467
ATP,Diego Schwartzman,0.9724409448818898,0.9557109557109557,0.9168443496801706,508,429,469,1406,3,0.4485734357826868,0.27718103640831315
ATP,Dominic Stricker,1.0,0.9675324675324676,0.9098360655737705,59,154,122,335,3,0.9513801042979513,0.904404538708211
