k,inertia,silhouette
2,920.1656702549544,0.40295328972040095
3,752.3791611292235,0.33526901022883265
4,652.9468594773158,0.25399913141300745
5,583.0413022463156,0.2619859507245793
6,527.3935623446652,0.235029653227371
7,480.19194562357274,0.2263597756555534
8,440.41745205411945,0.2381641703832871
9,402.13157701531406,0.24679616871273138
10,371.63931521391413,0.2420189643757418
11,342.0155648279593,0.2555211039658881
12,321.63992104835154,0.254722161474982
