tour,player_name,serve_pts,serve_pts_won,return_pts,return_pts_won,serve_win_pct,return_win_pct,total_win_pct
ATP,A Balazs,290,167,265,91,0.5758620689655173,0.3433962264150943,0.4648648648648649
ATP,A Barty,212,143,238,113,0.6745283018867925,0.47478991596638653,0.5688888888888889
ATP,A Bedene,664,422,694,247,0.6355421686746988,0.3559077809798271,0.49263622974963184
ATP,A Blinkova,144,77,88,32,0.5347222222222222,0.36363636363636365,0.4698275862068966
ATP,A Bogdan,44,19,53,19,0.4318181818181818,0.3584905660377358,0.3917525773195876
ATP,A Bolsova,53,28,39,7,0.5283018867924528,0.1794871794871795,0.3804347826086957
ATP,A Bolt,106,72,117,49,0.6792452830188679,0.4188034188034188,0.5426008968609866
ATP,A Bublik,472,279,461,167,0.5911016949152542,0.36225596529284165,0.4780278670953912
ATP,A Cazaux,156,91,138,53,0.5833333333333334,0.38405797101449274,0.4897959183673469
ATP,A Cornet,108,60,111,52,0.5555555555555556,0.46846846846846846,0.5114155251141552
ATP,A Davidovich Fokina,828,483,844,336,0.5833333333333334,0.3981042654028436,0.48983253588516745
ATP,A De Minaur,499,296,531,216,0.593186372745491,0.4067796610169492,0.4970873786407767
ATP,A Giannessi,169,95,143,49,0.5621301775147929,0.34265734265734266,0.46153846153846156
ATP,A Hoang,94,45,90,30,0.4787234042553192,0.3333333333333333,0.4076086956521739
ATP,A Karatsev,628,424,667,256,0.6751592356687898,0.383808095952024,0.525096525096525
ATP,A Kerber,58,26,50,16,0.4482758620689655,0.32,0.3888888888888889
ATP,A Kontaveit,124,74,113,46,0.5967741935483871,0.40707964601769914,0.5063291139240507
ATP,A Li,97,53,92,45,0.5463917525773195,0.4891304347826087,0.5185185185185185
ATP,A Mannarino,420,248,357,116,0.5904761904761905,0.32492997198879553,0.46846846846846846
ATP,A Martin,343,199,346,128,0.5801749271137027,0.3699421965317919,0.4746008708272859
ATP,A Muller,91,57,123,62,0.6263736263736264,0.5040650406504065,0.5560747663551402
ATP,A Murray,76,38,65,16,0.5,0.24615384615384617,0.3829787234042553
ATP,A Pavlyuchenkova,59,26,45,13,0.4406779661016949,0.28888888888888886,0.375
